question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
In 2001 which movie was the first winner of the Best Animated Movie Oscar?,Shrek,,0,0.0,0.0,378,0,0.0,0.0,379,0,0.0,0.0,381,0,0.0,0.0,381
Who wrote the 1951 novel ‘From here to Eternity’?,James Jones,,1,0.0,0.0,375,1,0.21052631578947367,0.0,375,1,0.0,0.0,375,1,0.0,0.0,351
In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple,,0,0.0,0.0,378,0,0.0,0.0,383,0,0.0,0.0,378,0,0.0,0.0,373
What is the more common name for the order Coleoptera which contains more species than any other order in the animal kingdom?,Beetles,,1,0.0,0.0,382,1,0.0,0.0,371,1,0.0,0.0,377,1,0.0,0.0,377
"At which English racecourse did two horses collapse and die in the parade ring due to electrocution, in February 2011?",Newbury,,1,0.0,0.0,368,1,0.0,0.0,376,1,0.0,0.0,368,1,0.0,0.0,360
Which Disney character is brought to life by the Blue Fairy ?,PINOCCHIO,,1,0.0,0.0,366,1,0.0,0.0,355,1,0.0,0.0,366,1,0.0,0.0,377
What items would be collected by a horologist?,CLOCKS,,1,0.0,0.0,381,1,0.0,0.0,360,1,0.0,0.0,381,1,0.0,0.0,372
"In the Shakespeare play ‘The Tempest’, Prospero is the overthrown Duke of ‘where’?",Milan,,1,0.0,0.0,384,1,0.0,0.0,376,1,0.0,0.0,373,1,0.0,0.0,373
The 1938 work The Black Jacobins by C. L. R. James is an account of what upheaval that took place between 1791 and 1804?,Haitian revolution,,1,0.0,0.0,273,1,0.0,0.0,273,1,0.0,0.0,273,1,0.0,0.0,273
"Psychoanalyst A A Brill described what as ‘Torches of Freedom’ in the 1920’s, as symbols of equality for women?",Cigarettes,,1,0.0909090909090909,0.0,383,1,0.10526315789473684,0.0,383,1,0.0909090909090909,0.0,383,1,0.08333333333333333,0.0,383
The A57 road runs from Liverpool to which English town or city?,Lincoln,,1,0.0,0.0,381,1,0.0,0.0,381,1,0.0,0.0,381,1,0.0,0.0,366
Scientist Ernest Rutherford once said all science is just what subject while comparing the rest to stamp collection?,Physics,,1,0.0,0.0,380,1,0.0,0.0,367,1,0.0,0.0,380,1,0.0,0.0,363
