question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
In 2001 which movie was the first winner of the Best Animated Movie Oscar?,Shrek,,0,0.0,0.0,512,0,0.0,0.0,493,0,0.0,0.0,511,0,0.0,0.0,501
Who wrote the 1951 novel ‘From here to Eternity’?,James Jones,,1,0.0,0.0,492,1,0.0,0.0,495,1,0.0,0.0,492,1,0.0,0.0,450
In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple,,0,0.0,0.0,399,0,0.0,0.0,399,0,0.0,0.0,399,0,0.0,0.0,399
What is the more common name for the order Coleoptera which contains more species than any other order in the animal kingdom?,Beetles,,1,0.0,0.0,450,1,0.0,0.0,450,1,0.0,0.0,450,1,0.0,0.0,450
"At which English racecourse did two horses collapse and die in the parade ring due to electrocution, in February 2011?",Newbury,,1,0.0,0.0,465,1,0.0,0.0,465,1,0.0,0.0,465,1,0.0,0.0,465
Which Disney character is brought to life by the Blue Fairy ?,PINOCCHIO,,1,0.0,0.0,423,1,0.0,0.0,423,1,0.0,0.0,423,1,0.0,0.0,423
What items would be collected by a horologist?,CLOCKS,,1,0.0,0.0,483,1,0.0,0.0,483,1,0.0,0.0,483,1,0.0,0.0,483
"In the Shakespeare play ‘The Tempest’, Prospero is the overthrown Duke of ‘where’?",Milan,,1,0.0,0.0,503,1,0.0,0.0,503,1,0.0,0.0,503,1,0.0,0.0,503
The 1938 work The Black Jacobins by C. L. R. James is an account of what upheaval that took place between 1791 and 1804?,Haitian revolution,,1,0.0,0.0,273,1,0.0,0.0,273,1,0.0,0.0,273,1,0.0,0.0,273
"Psychoanalyst A A Brill described what as ‘Torches of Freedom’ in the 1920’s, as symbols of equality for women?",Cigarettes,,1,0.0909090909090909,0.0,383,1,0.10526315789473684,0.0,383,1,0.0909090909090909,0.0,383,1,0.08333333333333333,0.0,383
The A57 road runs from Liverpool to which English town or city?,Lincoln,,1,0.0,0.0,400,1,0.0,0.0,400,1,0.0,0.0,400,1,0.0,0.0,400
Scientist Ernest Rutherford once said all science is just what subject while comparing the rest to stamp collection?,Physics,,1,0.0,0.0,499,1,0.0,0.0,483,1,0.0,0.0,499,1,0.0,0.0,483
A Varsovian is a native of which capital city,Warsaw,,1,0.0,0.0,431,1,0.0,0.0,431,1,0.0,0.0,431,1,0.0,0.0,431
What is the US equivalent of the British Army's SAS?,Delta Force,,1,0.0,0.0,500,1,0.0,0.0,496,1,0.0,0.0,504,1,0.0,0.0,500
Which actor succeeded Marlon Brando as head of the Corleone family in the Godfather films?,Al Pacino,,1,0.0,0.0,422,1,0.0,0.0,422,1,0.0,0.0,422,1,0.0,0.0,422
"""Whose memoirs, published in 2010, were called """"A Journey""""?""",Tony Blair,,1,0.0,0.0,512,1,0.0,0.0,501,1,0.0,0.0,512,1,0.0,0.0,454
"Which artist has a daughter and two sons with Jane Asher, whom he married in 1981?",Gerald Scarfe,,1,0.0,0.0,510,1,0.0,0.0,510,1,0.0,0.0,510,1,0.0,0.0,510
"What is the most common blood type in humans? A, B or O?",O,,1,0.0,0.0,504,1,0.0,0.0,485,1,0.0,0.0,504,1,0.0,0.0,477
"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",Nick Hornby,,1,0.0,0.0,502,1,0.06557377049180328,0.0,503,1,0.0,0.0,502,1,0.06557377049180328,0.0,506
Madame de Pompadour and Madame du Barry were mistresses of which French King?,Louis XV,,1,0.14285714285714288,0.0,483,1,0.14285714285714288,0.0,483,1,0.14285714285714288,0.0,483,1,0.1111111111111111,0.0,483
Who was Wolfe’s opposing French general who died with him on the Plains of Abraham?,Montcalm,,1,0.0,0.0,490,1,0.0,0.0,504,1,0.0,0.0,508,1,0.0,0.0,509
Appointed on June 22nd 2011 who is the current manager of Birmingham City FC?,CHRIS HUGHTON,,0,0.0,0.0,348,0,0.0,0.0,348,0,0.0,0.0,348,0,0.0,0.0,348
What is the name of the German magazine which claimed in 1983 to have found Hitler's diaries?,Stern,,1,0.0,0.0,446,1,0.0,0.0,509,1,0.0,0.0,505,1,0.0,0.0,502
"Common, Arctic and Sooty are all varieties of which bird?",TERN,,0,0.0,0.0,397,0,0.0,0.0,397,0,0.0,0.0,397,0,0.0,0.0,397
What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol,,0,0.0,0.0,392,0,0.0,0.0,392,0,0.0,0.0,392,0,0.0,0.0,392
The city of Leeds stands on which river?,AIRE,,1,0.0,0.0,493,1,0.0,0.0,493,1,0.0,0.0,493,1,0.0,0.0,493
What is the official summer sport of Canada?,LACROSSE,,1,0.0,0.0,462,1,0.0,0.0,462,1,0.0,0.0,462,1,0.0,0.0,462
H'Angus the Monkey is the mascot of which English football club?,Hartlepool United,,1,0.3636363636363636,0.0,418,1,0.3636363636363636,0.0,418,1,0.3636363636363636,0.0,418,1,0.3636363636363636,0.0,418
Tahini paste is made by grinding which seeds?,Sesame,,1,0.0,0.0,325,1,0.0,0.0,325,1,0.0,0.0,325,1,0.0,0.0,325
Which US folk singer had the words “This machine kills fascists” written on his guitar?,Woody Guthrie,,1,0.0,0.0,493,1,0.0,0.0,493,1,0.0,0.0,493,1,0.0,0.0,493
By what name was the shipping area Fitzroy known until 2002?,Finisterre,,1,0.0,0.0,496,1,0.0,0.0,478,1,0.0,0.0,506,1,0.0,0.0,496
"""""""Alba"""" is the Gaelic name for what?""",Scotland,,1,0.25,0.0,438,1,0.25,0.0,438,1,0.25,0.0,438,1,0.25,0.0,438
