question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,bridge,1,0.0,0.0,335,1,0.0,0.0,335,1,0.0,0.0,335,1,0.0,0.0,335
Black Book starred the actress and writer of what heritage?,Dutch,bridge,1,0.0,0.0,509,1,0.0,0.0,502,1,0.0,0.0,509,1,0.0,0.0,423
Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,bridge,1,0.0,0.0,428,1,0.0,0.0,428,1,0.0,0.0,428,1,0.0,0.0,428
Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,bridge,1,0.0,0.0,442,1,0.0,0.0,442,1,0.0,0.0,442,1,0.0,0.0,442
"Between Greyia and Calibanus, which genus contains more species?",Greyia,comparison,1,0.0,0.0,389,1,0.0,0.0,389,1,0.0,0.0,389,1,0.0,0.0,389
Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,comparison,0,0.0,0.0,496,0,0.0,0.0,504,0,0.0,0.0,496,0,0.0,0.0,490
Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,bridge,1,0.1,0.0,508,1,0.1,0.0,511,1,0.1,0.0,508,1,0.1,0.0,501
which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,bridge,1,0.0,0.0,430,1,0.0,0.0,430,1,0.0,0.0,430,1,0.0,0.0,430
Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,bridge,1,0.08,0.0,460,1,0.08,0.0,460,1,0.08,0.0,460,1,0.08,0.0,460
Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,bridge,1,0.0,0.0,461,1,0.0,0.0,461,1,0.0,0.0,461,1,0.0,0.0,461
The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",bridge,1,0.1142857142857143,0.0,467,1,0.1142857142857143,0.0,467,1,0.1142857142857143,0.0,467,1,0.1142857142857143,0.0,467
"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,bridge,1,0.0,0.0,391,1,0.0,0.0,391,1,0.0,0.0,391,1,0.0,0.0,391
"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,bridge,0,0.0,0.0,442,0,0.0,0.0,442,0,0.0,0.0,442,0,0.0,0.0,442
In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",bridge,1,0.0,0.0,447,1,0.0,0.0,447,1,0.0,0.0,447,1,0.0,0.0,447
"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,bridge,1,0.0,0.0,507,1,0.0,0.0,512,1,0.0,0.0,507,1,0.0,0.0,478
What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,bridge,1,0.0,0.0,425,1,0.0,0.0,425,1,0.0,0.0,425,1,0.0,0.0,425
A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,bridge,1,0.0,0.0,404,1,0.0,0.0,404,1,0.0,0.0,404,1,0.0,0.0,404
Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,bridge,1,0.0,0.0,494,1,0.0,0.0,498,1,0.0,0.0,494,1,0.0,0.0,484
What class of instrument does Apatim Majumdar play?,strings,bridge,0,0.0,0.0,433,0,0.0,0.0,433,0,0.0,0.0,433,0,0.0,0.0,433
" Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,comparison,1,0.0,0.0,504,1,0.0,0.0,489,1,0.0,0.0,504,1,0.0,0.0,490
Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs,comparison,1,0.0,0.0,373,1,0.0,0.0,373,1,0.0,0.0,373,1,0.0,0.0,373
The Prussian General Carl von Clausewitz is associated with what type of realism?,Modern thinkers associated with classical realism are Carl von Clausewitz,bridge,1,0.8,0.0,498,1,0.8,0.0,498,1,0.8,0.0,498,1,0.8,0.0,498
What where both Hawker Hurricane and No. 1455 Flight apart of?,Royal Air Force,bridge,1,0.0,0.0,451,1,0.0,0.0,451,1,0.0,0.0,451,1,0.0,0.0,451
what language did the ethnic group which Torstein Ellingsen was its drumer  speaks ,Norwegian language,bridge,1,0.0,0.0,361,1,0.0,0.0,361,1,0.0,0.0,361,1,0.0,0.0,361
"From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?",the Parthian Empire,bridge,1,0.11764705882352941,0.0,423,1,0.11764705882352941,0.0,423,1,0.11764705882352941,0.0,423,1,0.11764705882352941,0.0,423
"Beer Wars covers the differences between large corporate breweries, and small breweries, such as what brewery that is headquartered in Escondido, california?",Stone Brewing,bridge,1,0.0,0.0,393,1,0.0,0.0,393,1,0.0,0.0,393,1,0.0,0.0,393
