question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1755,bridge,1,0.0,0.0,335,1,0.0,0.0,335,1,0.0,0.0,335,1,0.0,0.0,335
Black Book starred the actress and writer of what heritage?,Dutch,bridge,1,0.0,0.0,384,1,0.0,0.0,383,1,0.0,0.0,384,1,0.0,0.0,371
Which actor does American Beauty and American Beauty have in common?,Kevin Spacey,bridge,1,0.0,0.0,380,1,0.0,0.0,376,1,0.0,0.0,373,1,0.0,0.0,373
Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,40 members,bridge,1,0.0,0.0,374,1,0.0,0.0,383,1,0.0,0.0,374,1,0.0,0.0,375
"Between Greyia and Calibanus, which genus contains more species?",Greyia,comparison,1,0.0,0.0,359,1,0.0,0.0,378,1,0.0,0.0,359,1,0.0,0.0,359
Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes,comparison,0,0.0,0.0,382,0,0.0,0.0,364,0,0.0,0.0,382,0,0.0,0.0,377
Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,bridge,1,0.1,0.0,374,1,0.1,0.0,373,1,0.1,0.0,374,1,0.1,0.0,375
which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,bridge,1,0.0,0.0,384,1,0.0,0.0,381,1,0.0,0.0,384,1,0.0,0.0,368
Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,bridge,1,0.08,0.0,379,1,0.08,0.0,378,1,0.08,0.0,379,1,0.08,0.0,378
Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,bridge,1,0.0,0.0,371,1,0.0,0.0,380,1,0.0,0.0,371,1,0.0,0.0,362
The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",bridge,1,0.08333333333333334,0.0,380,0,0.1142857142857143,0.0,382,1,0.08333333333333334,0.0,378,1,0.08333333333333334,0.0,370
"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,bridge,1,0.0,0.0,372,1,0.0,0.0,381,1,0.0,0.0,372,1,0.0,0.0,354
"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,bridge,0,0.0,0.0,378,0,0.0,0.0,382,0,0.0,0.0,378,0,0.0,0.0,373
In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",bridge,1,0.0,0.0,375,0,0.0,0.0,377,1,0.0,0.0,375,0,0.0,0.0,368
"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,bridge,1,0.0,0.0,384,1,0.0,0.0,368,1,0.0,0.0,384,1,0.0,0.0,383
What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,bridge,1,0.0,0.0,345,0,0.0,0.0,379,1,0.0,0.0,345,1,0.0,0.0,345
A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,bridge,1,0.0,0.0,384,1,0.0,0.0,357,1,0.0,0.0,384,1,0.0,0.0,381
Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,bridge,1,0.0,0.0,377,1,0.0,0.0,380,1,0.0,0.0,379,1,0.0,0.0,351
