question,gold,qtype,topk_aic,topk_f1,topk_em,topk_tokens,mmr_aic,mmr_f1,mmr_em,mmr_tokens,focused_aic,focused_f1,focused_em,focused_tokens,answer_survival_aic,answer_survival_f1,answer_survival_em,answer_survival_tokens
Where does the founder of Les Films Du Losange work at?,Cahiers du cinéma,compositional,0,0.0,0.0,248,1,0.0,0.0,255,0,0.0,0.0,248,0,0.0,0.0,246
Are director of film Susanna Whipped Cream and director of film Le Salamandre both from the same country?,yes,bridge_comparison,0,0.0,0.0,224,0,0.0,0.0,224,0,0.0,0.0,224,0,0.0,0.0,224
Who is Wisigard's father-in-law?,Theuderic I,inference,1,0.0,0.0,255,1,0.0,0.0,256,1,0.0,0.0,255,1,0.0,0.0,253
Which country the director of film Hotel By The Hour is from?,Austria,compositional,0,0.0,0.0,253,1,0.0,0.0,246,0,0.0,0.0,253,1,0.0,0.0,244
"Who lived longer, Friedrich Paschen or Ernst Bessey?",Friedrich Paschen,comparison,1,0.0,0.0,255,1,0.07142857142857144,0.0,254,1,0.0,0.0,255,1,0.0,0.0,239
"Which film has the director born later, The Fighting Demon or Blood Of The Losers?",Blood Of The Losers,bridge_comparison,1,0.0,0.0,241,1,0.0,0.0,241,1,0.0,0.0,241,1,0.0,0.0,241
Who is Ieuan Ab Owain Glyndŵr's paternal grandfather?,Gruffudd Fychan II,inference,0,0.0,0.0,254,0,0.0,0.0,253,0,0.0,0.0,254,0,0.0,0.0,254
"Which film has the director died later, The Life And Loves Of Tschaikovsky or Dokuz Dağın Efesi?",Dokuz Dağın Efesi,bridge_comparison,1,0.0,0.0,256,1,0.0,0.0,252,1,0.0,0.0,256,1,0.0,0.0,254
What is the date of birth of Frederick Of Liege's father?,1027,compositional,0,0.0,0.0,256,0,0.0,0.0,246,0,0.0,0.0,256,0,0.0,0.0,241
"Where did the director of film Nalini By Day, Nancy By Night graduate from?",Mount Holyoke College,compositional,0,0.0,0.0,249,1,0.0,0.0,254,0,0.0,0.0,249,0,0.0,0.0,248
"Which film has the director born later, Brutti Di Notte or Bir Türk'E Gönül Verdim?",Bir Türk'E Gönül Verdim,bridge_comparison,1,0.0,0.0,220,1,0.0,0.0,220,1,0.0,0.0,220,1,0.0,0.0,220
Who is Rostislav I Of Kiev's paternal grandfather?,Vladimir II Monomakh,inference,0,0.044444444444444446,0.0,252,0,0.0,0.0,251,0,0.044444444444444446,0.0,252,0,0.0,0.0,255
"Which film has the director born later, Life Hits or It'S In The Air?",Life Hits,bridge_comparison,1,0.0,0.0,181,1,0.0,0.0,181,1,0.0,0.0,181,1,0.0,0.0,181
"Which film whose director is younger, A Night'S Adventure or Insaciable?",Insaciable,bridge_comparison,1,0.0,0.0,254,1,0.0,0.0,256,1,0.0,0.0,254,1,0.0,0.0,248
What is the place of birth of the composer of film Men With Brooms?,Calgary,compositional,0,0.0,0.0,256,0,0.0,0.0,250,0,0.0,0.0,256,0,0.0,0.0,249
"Which film has the director born later, Battle Of Memories or The Wedding Of Lilli Marlene?",Battle Of Memories,bridge_comparison,1,0.28571428571428575,0.0,254,1,0.28571428571428575,0.0,250,1,0.28571428571428575,0.0,254,1,0.28571428571428575,0.0,255
Where was the director of film Aylwin (Film) born?,"Weston-super-Mare, Somerset",compositional,1,0.0,0.0,254,1,0.0,0.0,253,1,0.0,0.0,254,1,0.0,0.0,253
"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",Hanuman Patal Vijay,bridge_comparison,1,0.125,0.0,243,1,0.0,0.0,248,1,0.125,0.0,243,1,0.125,0.0,243
Were Gotthilf Heinrich Ernst Muhlenberg and Todd Williams of the same nationality?,yes,comparison,0,0.0,0.0,249,0,0.0,0.0,254,0,0.0,0.0,249,0,0.0,0.0,254
What is the date of death of Peter Dale Scott's mother?,28 November 1993,compositional,1,0.0,0.0,252,1,0.0,0.0,255,1,0.0,0.0,252,1,0.0,0.0,252
Where did the founder of Ford Australia die?,Dearborn,compositional,0,0.0,0.0,256,1,0.0,0.0,256,0,0.0,0.0,256,0,0.0,0.0,239
"Which film has the director who is older than the other, Rolling In Money or A Fine, Windy Day? ",Rolling In Money,bridge_comparison,1,0.25,0.0,254,1,0.25,0.0,245,1,0.25,0.0,254,1,0.25,0.0,245
"Which film has the director born later, Best Of The Best 3: No Turning Back or Ven Mi Corazón Te Llama?",Best Of The Best 3: No Turning Back,bridge_comparison,1,0.0,0.0,256,1,0.0,0.0,252,1,0.0,0.0,256,1,0.0,0.0,254
"Which film has the director who died later, The Death Kiss or Her Luck In London?",Her Luck In London,bridge_comparison,1,0.2857142857142857,0.0,250,1,0.2857142857142857,0.0,242,1,0.2857142857142857,0.0,250,1,0.2857142857142857,0.0,255
"When did Joanna Of Aragon, Countess Of Foix's mother die?",23 October 1378,compositional,0,0.0,0.0,256,0,0.0,0.0,254,0,0.0,0.0,256,0,0.0,0.0,254
